"","X","brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price","HighValueCar","engine_power_numeric"
"702",702,"Volkswagen","Arteon 2.0T SEL Premium R-Line",2020,26870,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Deep Black Pearl Effect","Mistral Gray / Raven","At least 1 accident or damage reported","Yes",34645,0,2.0416
"703",703,"Honda","Pilot EX",2004,184000,"Gasoline","240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Gray","At least 1 accident or damage reported","Yes",10500,0,3.6624
"704",704,"BMW","X7 ALPINA XB7",2022,4514,"Gasoline","4.4 Liter Twin Turbo","Automatic","Gray","Black","None reported","No",132998,1,4.4
"705",705,"RAM","2500 Tradesman",2022,1300,"Gasoline","410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Black","None reported","Yes",48000,0,3.6624
"706",706,"Jeep","Grand Cherokee Limited",2018,49924,"Gasoline","293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",26500,0,3.6624
"707",707,"GMC","Yukon Denali",2019,36526,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Red","Black","None reported","Yes",57850,1,3.6624
"708",708,"BMW","M6 Base",2015,37000,"Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Silver","None reported","Yes",45950,0,3.6624
"709",709,"Acura","MDX 3.5L w/Advance & Entertainment Pkgs",2017,79884,"Gasoline","3.5L V6 24V GDI SOHC","9-Speed Automatic","Gray","Graystone","At least 1 accident or damage reported","No",24840,0,3.5624
"710",710,"Volkswagen","Beetle 1.8T",2016,30000,"Gasoline","170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","At least 1 accident or damage reported","Yes",19000,0,3.6624
"711",711,"BMW","X6 M Base",2021,11102,"Gasoline","600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",101000,1,3.6624
"712",712,"Ford","Mustang GT Premium",2012,105500,"Gasoline","412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","None reported","Yes",19000,0,3.6624
"713",713,"BMW","X7 xDrive50i",2019,31157,"Gasoline","4.4 Liter GDI DOHC Twin Turbo","Automatic","Black","Blk","None reported","No",65998,1,4.4
"714",714,"Kia","Sorento LX V6",2019,86204,"Gasoline","3.3L V6 24V GDI DOHC","8-Speed Automatic","Sparkling Silver","Satin Black","At least 1 accident or damage reported","No",20708,0,3.3624
"715",715,"BMW","435 i",2014,80211,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","Gray","Red","At least 1 accident or damage reported","Yes",17995,0,3.6624
"716",716,"Aston","Martin V8 Vantage Base",2010,25991,"Gasoline","420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Black","None reported","Yes",69995,1,3.6624
"717",717,"Mercedes-Benz","CLK-Class CLK 350",2008,73000,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",8400,0,3.6624
"718",718,"BMW","740 i",2018,40989,"Gasoline","320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Gold","None reported","Yes",35000,0,3.6624
"719",719,"Dodge","Caliber Express",2010,102681,"Gasoline","158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","M/T","Red","Black","None reported","Yes",6000,0,3.6624
"720",720,"Acura","ZDX Base",2010,123000,"Gasoline","300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","At least 1 accident or damage reported","Yes",13888,0,3.6624
"721",721,"Jeep","Wrangler X",2005,160900,"Gasoline","190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Black","–","At least 1 accident or damage reported","Yes",7200,0,3.6624
"722",722,"BMW","M3 Base",2011,105000,"Gasoline","414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","At least 1 accident or damage reported","Yes",21900,0,3.6624
"723",723,"Kia","Sportage Plug-In Hybrid X-Line",2023,1340,"Plug-In Hybrid","177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas","A/T","Black","Black","None reported","Yes",41000,0,3.6624
"724",724,"Ford","Mustang Mach-E Premium",2021,17850,"Electric","266.0HP Electric Motor Electric Fuel System","A/T","Red","Black","None reported","Yes",41999,0,266
"725",725,"BMW","M3 Base",2011,72277,"Gasoline","414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Red","None reported","Yes",34950,0,3.6624
"726",726,"Jeep","Wrangler Rubicon",2023,7000,"Hybrid","285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Gray","Black","None reported","Yes",46000,0,3.6624
"727",727,"Porsche","Panamera 4 Platinum Edition",2022,10627,"Gasoline","2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch","Chalk","BLACK","None reported","No",99000,1,2.96
"728",728,"Ford","Explorer XLT",2020,67015,"Gasoline","2.3L I4 16V GDI DOHC Turbo","10-Speed Automatic","Oxford White","Sandstone","None reported","No",28590,0,2.3416
"729",729,"BMW","M4 Base",2018,19600,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",62000,1,3.6624
"730",730,"Ford","Mustang Mach-E Premium",2022,5800,"Electric","346.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","White","None reported","Yes",42500,0,346
"731",731,"FIAT","500e Battery Electric",2017,33812,"Electric","111.0HP Electric Motor Electric Fuel System","1-Speed A/T","Silver","Black","None reported","Yes",14999,0,111
"732",732,"Cadillac","Escalade Luxury",2015,99897,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",26950,0,3.6624
"733",733,"Mercedes-Benz","SL-Class SL 550",2014,127500,"Gasoline","429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","White","None reported","Yes",29000,0,3.6624
"734",734,"Ford","Expedition Limited",2021,23842,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Gray","Medium Stone","None reported","Yes",59203,1,3.5624
"735",735,"Rivian","R1S Adventure Package",2023,2108,"Electric","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","Silver","White","None reported","Yes",91000,1,835
"736",736,"BMW","M6 Base",2014,65550,"Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",39985,0,3.6624
"737",737,"Lamborghini","Huracan LP580-2",2017,22000,"Gasoline","573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",210000,1,3.6624
"738",738,"Ford","Bronco Wildtrak Advanced",2022,15600,"Gasoline","315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","–","At least 1 accident or damage reported","Yes",68995,1,3.6624
"739",739,"Lexus","LC 500 Base",2021,22400,"Gasoline","471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Red","None reported","Yes",81900,1,3.6624
"740",740,"Lexus","LS 460 Crafted Line",2015,89150,"Gasoline","360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",31900,0,3.6624
"741",741,"BMW","M4 Base",2023,15000,"Gasoline","3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes","BLUE","ORANGE","None reported","No",81000,1,36
"742",742,"Audi","A3 2.0T Tech Premium",2018,49500,"Gasoline","220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Gray","None reported","Yes",25000,0,3.6624
"743",743,"Volkswagen","Golf GTI 2.0T Autobahn 4-Door",2015,85385,"Gasoline","210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","None reported","Yes",15550,0,3.6624
"744",744,"Cadillac","Escalade Sport",2023,3000,"Diesel","277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel","A/T","White","Brown","None reported","Yes",123999,1,3.6624
"745",745,"Hyundai","Tucson SE",2018,66126,"Gasoline","2.0L I4 16V GDI DOHC","6-Speed Automatic","Dazzling White","Gray","None reported","No",19190,0,2.0416
"746",746,"Toyota","GR86 Premium",2023,1075,"Gasoline","228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",35000,0,3.6624
"747",747,"Ford","Bronco Raptor",2023,2489,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","10-Speed Automatic","Oxford White","Black Onyx","None reported","No",98900,1,3.0624
"748",748,"Hyundai","Santa Fe SEL",2021,25000,"Gasoline","191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Gray","None reported","Yes",28500,0,3.6624
"749",749,"Nissan","Armada Platinum",2017,92000,"Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",20900,0,3.6624
"750",750,"Lexus","GX 470 Base",2008,123500,"Gasoline","263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",14500,0,3.6624
"751",751,"Cadillac","CTS Premium",2013,105000,"Gasoline","318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",12000,0,3.6624
"752",752,"Audi","R8 Base",2008,49000,"Gasoline","420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",63000,1,3.6624
"753",753,"Jaguar","F-PACE S",2020,28357,"Gasoline","3.0 Liter","Automatic","Santorini Black Metallic","Pimento Red w/Ebony","None reported","No",47598,0,3
"754",754,"Chevrolet","Silverado 1500 1LT",2018,81000,"E85 Flex Fuel","285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability","A/T","Red","Gray","None reported","Yes",32000,0,3.6624
"755",755,"Ford","Expedition Limited",2021,45000,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",52000,1,3.6624
"756",756,"Toyota","Sequoia Platinum",2011,173456,"E85 Flex Fuel","381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",16000,0,3.6624
"757",757,"Audi","A8 L 55",2019,93400,"Hybrid","335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","Silver","Brown","None reported","Yes",42500,0,3.6624
"758",758,"Toyota","Avalon XLE",2015,90000,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","None reported","Yes",18200,0,3.6624
"759",759,"Porsche","Macan Base",2017,40600,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",32000,0,3.6624
"760",760,"Lexus","IS 350 F Sport",2023,20121,"Gasoline","311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Red","None reported","Yes",47124,0,3.6624
"761",761,"Mercedes-Benz","Metris Base",2020,3921,"Gasoline","2.0L I4 16V GDI DOHC Turbo","7-Speed Automatic","Black","White","None reported","Yes",175000,1,2.0416
"762",762,"Lexus","RX 350 Base",2011,187450,"Gasoline","275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Beige","At least 1 accident or damage reported","Yes",10400,0,3.6624
"763",763,"Toyota","Supra A91 Edition",2021,6400,"Gasoline","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",68000,1,3.6624
"764",764,"Mercedes-Benz","AMG C 43 Base 4MATIC",2017,54500,"Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","White","Black","None reported","Yes",37995,0,3.6624
"765",765,"BMW","X6 xDrive50i",2017,78500,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Brown","At least 1 accident or damage reported","Yes",42000,0,3.6624
"766",766,"Chevrolet","Tahoe LT",2018,75000,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Black","None reported","Yes",36000,0,3.6624
"767",767,"Ford","F-150 SVT Raptor",2014,89988,"Gasoline","411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Red","Red","At least 1 accident or damage reported","Yes",42500,0,3.6624
"768",768,"Subaru","Outback 3.0 R VDC Limited",2005,107000,"Gasoline","250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",7100,0,3.6624
"769",769,"Alfa","Romeo Giulia Ti",2019,21400,"Gasoline","280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",28500,0,3.6624
"770",770,"Mazda","CX-7 Grand Touring",2007,83150,"Gasoline","244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","None reported","Yes",6950,0,3.6624
"771",771,"Ford","F-150 Platinum",2018,92000,"Diesel","250.0HP 3.0L V6 Cylinder Engine Diesel Fuel","10-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",36500,0,3.6624
"772",772,"Mercedes-Benz","GLE 350 Base 4MATIC",2021,15042,"Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Selenite Gray Metallic","Macchiato","None reported","No",54599,1,2.0416
"773",773,"Audi","A7 3.0T Premium Plus",2017,39000,"Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","At least 1 accident or damage reported","Yes",35000,0,3.6624
"774",774,"RAM","2500 Laramie",2017,67483,"Gasoline","410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Brown","Beige","At least 1 accident or damage reported","Yes",46500,0,3.6624
"775",775,"Tesla","Model S 70D",2015,62089,"Electric","329.0HP Electric Motor Electric Fuel System","A/T","Black","Beige","None reported","Yes",29975,0,329
"776",776,"Audi","S8 4.0T Plus",2017,54300,"Gasoline","605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",53500,1,3.6624
"777",777,"Hyundai","Sonata Hybrid Limited",2022,30565,"Hybrid","192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid","A/T","Gray","Black","None reported","Yes",29000,0,3.6624
"778",778,"Audi","A8 L 4.0T",2016,142666,"Gasoline","450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",22000,0,3.6624
"779",779,"Ford","Ranger Sport SuperCab",2009,166200,"Gasoline","207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Gray","At least 1 accident or damage reported","Yes",6999,0,3.6624
"780",780,"INFINITI","Q50 Hybrid Premium",2015,88977,"Hybrid","354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",19977,0,3.6624
"781",781,"BMW","M3 Base",2011,114890,"Gasoline","414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",20990,0,3.6624
"782",782,"Mercedes-Benz","E-Class E 350 4MATIC",2009,171000,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",4750,0,3.6624
"783",783,"Ford","Explorer sport",2019,90067,"Gasoline","3.5L V6 24V GDI DOHC Twin Turbo","6-Speed Automatic","Black","Ebony Black","None reported","No",28590,0,3.5624
"784",784,"Chevrolet","Camaro 1LT",2014,97579,"Gasoline","323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","At least 1 accident or damage reported","Yes",15000,0,3.6624
"785",785,"Mazda","MX-5 Miata RF Grand Touring",2017,52000,"Gasoline","155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",20500,0,3.6624
"786",786,"Jeep","Grand Cherokee L Limited",2021,25968,"Gasoline","3.6L V6 24V MPFI DOHC","8-Speed Automatic","Metallic","Global Black","None reported","No",38405,0,3.6624
"787",787,"MINI","Hardtop Cooper S",2016,41680,"Gasoline","189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Black","None reported","Yes",17495,0,3.6624
"788",788,"Saab","9-3 SE",2002,77200,"Gasoline","205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Beige","None reported","Yes",7500,0,3.6624
"789",789,"BMW","X5 xDrive40i",2019,50000,"Gasoline","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Gold","None reported","Yes",43000,0,3.6624
"790",790,"Porsche","Macan",2021,21613,"Gasoline","2.0 Liter","Automatic","White","–","None reported","No",58998,1,2
"791",791,"Audi","Q3 S line Premium Plus",2022,17377,"Gasoline","2.0 Liter TFSI","Automatic","Glacier White","Pearl Beige","None reported","No",39998,0,2
"792",792,"Audi","allroad 2.7T",2005,153000,"Gasoline","250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","M/T","Blue","Blue","At least 1 accident or damage reported","Yes",6500,0,3.6624
"793",793,"Mercury","Marauder Base",2004,56600,"Gasoline","302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","Transmission Overdrive Switch","Silver","Black","None reported","Yes",23000,0,3.6624
"794",794,"Hyundai","Genesis 3.8",2015,116612,"Gasoline","311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","At least 1 accident or damage reported","Yes",12700,0,3.6624
"795",795,"Audi","SQ5 3.0T Premium Plus",2018,72000,"Gasoline","354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","At least 1 accident or damage reported","Yes",30000,0,3.6624
"796",796,"Audi","A8 L 55",2019,39000,"Hybrid","335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Black","Brown","None reported","Yes",50000,0,3.6624
"797",797,"Lincoln","Navigator Base",2008,149000,"Gasoline","300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",10099,0,3.6624
"798",798,"BMW","M4 Base",2018,19300,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Silver","None reported","Yes",64000,1,3.6624
"799",799,"Mazda","CX-9 Carbon Edition",2021,27836,"Gasoline","2.5L I4 16V GDI DOHC Turbo","6-Speed Automatic","Polymetal Gray Metallic","Red","None reported","Yes",36969,0,2.5416
"800",800,"Chevrolet","Corvette Stingray w/1LT",2023,3273,"Gasoline","490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Red","None reported","Yes",78999,1,3.6624
"801",801,"Ford","F-150 Lariat",2017,74349,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","White","–","None reported","Yes",36000,0,3.6624
"802",802,"Ford","F-250 Lariat",2019,85000,"Diesel","450.0HP 6.7L 8 Cylinder Engine Diesel Fuel","6-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",55000,1,3.6624
"803",803,"Ferrari","Roma Base",2022,2250,"Gasoline","611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Blue","None reported","Yes",259500,1,3.6624
"804",804,"Mercedes-Benz","GLS 450 Base 4MATIC",2017,46100,"Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Black","Beige","At least 1 accident or damage reported","Yes",33000,0,3.6624
"805",805,"Hyundai","Santa Fe SEL Plus 2.4",2019,49500,"Gasoline","185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Gray","None reported","Yes",28000,0,3.6624
"806",806,"Mercedes-Benz","E-Class E 350",2012,31130,"Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",23500,0,3.6624
"807",807,"Ford","F-250 XLT SuperCab Super Duty",2008,149460,"Diesel","350.0HP 6.4L 8 Cylinder Engine Diesel Fuel","A/T","Blue","Gray","At least 1 accident or damage reported","Yes",12240,0,3.6624
"808",808,"Mercury","Marauder Base",2003,90000,"Gasoline","302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Blue","Beige","At least 1 accident or damage reported","Yes",15500,0,3.6624
"809",809,"Ford","Transit-350 XLT",2021,48000,"E85 Flex Fuel","275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability","A/T","White","Gray","None reported","Yes",57000,1,3.6624
"810",810,"Mercedes-Benz","C-Class C 300 4MATIC Sport",2013,98000,"Gasoline","248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",15500,0,3.6624
"811",811,"Volkswagen","Arteon SEL R-Line",2022,18655,"Gasoline","2.0 Liter TSI","Automatic","Oryx White Prl","Titan Black","None reported","No",38698,0,2
"812",812,"Chevrolet","Suburban 2500 LS",2006,60000,"Gasoline","325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel","A/T","Brown","Brown","At least 1 accident or damage reported","Yes",24950,0,3.6624
"813",813,"Chevrolet","Suburban 1500 LT",2014,169500,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","A/T","Purple","Brown","None reported","Yes",15000,0,3.6624
"814",814,"Mitsubishi","Eclipse GS",2008,189500,"Gasoline","162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Red","Black","None reported","Yes",6000,0,3.6624
"815",815,"Toyota","Land Cruiser Base",2016,91000,"Gasoline","381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Brown","None reported","Yes",68500,1,3.6624
"816",816,"Genesis","G80 2.5T",2022,7396,"Gasoline","2.5L I4 16V PDI DOHC Turbo","8-Speed Automatic","Black Forest Green","Black","None reported","No",41299,0,2.5416
"817",817,"Toyota","Tundra SR5 Access Cab",2004,229450,"Gasoline","240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","None reported","Yes",8250,0,3.6624
"818",818,"Maserati","Quattroporte Modena Q4",2023,8603,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","8-Speed Automatic","Blu","Tan","None reported","No",125900,1,3.0624
"819",819,"Audi","RS 5 4.2",2014,49098,"Gasoline","450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","At least 1 accident or damage reported","Yes",44900,0,3.6624
"820",820,"Nissan","Rogue S",2022,21212,"Gasoline","1.5L I3 12V GDI DOHC Turbo","Automatic CVT","Gun Metallic","Charcoal","None reported","No",28906,0,1.5312
"821",821,"Porsche","Panamera 4S",2010,62743,"Gasoline","400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Gray","None reported","Yes",28600,0,3.6624
"822",822,"BMW","M440 i xDrive",2021,24300,"Hybrid","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Gray","Beige","None reported","Yes",49999,0,3.6624
"823",823,"Cadillac","Escalade Premium",2010,104000,"E85 Flex Fuel","403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability","A/T","Gray","–","None reported","Yes",19500,0,3.6624
"824",824,"Volvo","S60 T6 Momentum",2020,46250,"Gasoline","2.0L I4 16V GDI DOHC","8-Speed Automatic","White","Charcoal","At least 1 accident or damage reported","Yes",27800,0,2.0416
"825",825,"Mazda","CX-9 Touring Plus",2023,1930,"Gasoline","2.5L I4 16V GDI DOHC Turbo","6-Speed Automatic","Jet Black Mica","Black","At least 1 accident or damage reported","Yes",40655,0,2.5416
"826",826,"Chrysler","Pacifica Hybrid Touring L",2022,61494,"Hybrid","3.6L V6 24V MPFI DOHC Hybrid","Automatic CVT","Bright White Clearcoat","Black","None reported","No",35850,0,3.6624
"827",827,"Jeep","Wrangler Unlimited Sport",2020,24040,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Black Clearcoat","Black","None reported","Yes",35273,0,2.0416
"828",828,"Toyota","Highlander Base",2001,231581,"Gasoline","220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Beige","Beige","None reported","Yes",4300,0,3.6624
"829",829,"Ford","F-150 Lariat",2019,81000,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Gray","Black","None reported","Yes",38500,0,3.6624
"830",830,"Land","Rover Discovery Sport S R-Dynamic",2022,23568,"Gasoline","2.0 Liter","Automatic","Firenze Red","Ebony","None reported","No",44998,0,2
"831",831,"Mazda","Mazda6 Touring",2020,78700,"Gasoline","187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",18000,0,3.6624
"832",832,"Kia","Optima EX",2015,109580,"Gasoline","192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",11900,0,3.6624
"833",833,"Lexus","RX 350 Base",2009,178000,"Gasoline","270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","At least 1 accident or damage reported","Yes",4500,0,3.6624
"834",834,"Mitsubishi","Outlander Sport 2.4 SE",2016,131193,"Gasoline","2.4L I4 16V MPFI DOHC","Automatic CVT","Black","Black","None reported","Yes",11970,0,2.4416
"835",835,"Mercedes-Benz","GLS 450 Base 4MATIC",2017,106000,"Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","White","Black","None reported","Yes",25900,0,3.6624
"836",836,"Audi","A3 2.0T Premium",2019,28211,"Gasoline","184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",27500,0,3.6624
"837",837,"Audi","A4 2.0T Premium",2015,91403,"E85 Flex Fuel","2.0L I4 16V GDI DOHC Turbo Flexible Fuel","8-Speed Automatic","Silver","Gray","None reported","No",14998,0,2.0416
"838",838,"Mercedes-Benz","CLA-Class CLA 250",2016,88600,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",16800,0,3.6624
"839",839,"Kia","K5 EX",2021,11154,"Gasoline","1.6L I4 16V GDI DOHC Turbo","8-Speed Automatic","Glacial White Pearl","Black","None reported","No",28998,0,1.6416
"840",840,"BMW","X5 eDrive xDrive40e",2018,45090,"Plug-In Hybrid","313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","8-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",30750,0,3.6624
